Name,Drive,Manufacturer,KWH,NumberofSeats,KWH_without_kwh,Acceleration_wtihout_sec,TopSpeed_wtihout_kmperhour,Range_wtihout_km,Efficiency_wtihout_Whperkm,FastChargeSpeed_wtihout_KMperHour,PriceinGermany,PriceinUK
Citroen e-SpaceTourer M 75 kWh,Front Wheel Drive,Citroen,       68 kWh ,7,68.0,13.3,130,270,252,290,57440.0,48824.0
Citroen e-SpaceTourer XL 75 kWh,Front Wheel Drive,Citroen,       68 kWh ,7,68.0,13.3,130,270,252,290,58230.0,49495.5
Opel Zafira-e Life S 50 kWh,Front Wheel Drive,Opel,       45 kWh ,7,45.0,12.1,130,185,243,250,56700.0,48195.0
Opel Zafira-e Life M 50 kWh,Front Wheel Drive,Opel,       45 kWh ,7,45.0,12.1,130,185,243,250,53800.0,45730.0
Opel Zafira-e Life L 50 kWh,Front Wheel Drive,Opel,       45 kWh ,7,45.0,12.1,130,180,250,240,54625.0,49465.0
Opel Zafira-e Life M 75 kWh,Front Wheel Drive,Opel,       68 kWh ,7,68.0,13.3,130,270,252,290,59800.0,50830.0
Opel Zafira-e Life L 75 kWh,Front Wheel Drive,Opel,       68 kWh ,7,68.0,13.3,130,270,252,290,60625.0,51531.25
Peugeot e-Traveller Compact 50 kWh,Front Wheel Drive,Peugeot,       45 kWh ,7,45.0,12.1,130,185,243,250,50880.0,43248.0
Peugeot e-Traveller Standard 50 kWh,Front Wheel Drive,Peugeot,       45 kWh ,7,45.0,13.1,130,185,243,250,55900.0,49065.0
Peugeot e-Traveller Long 50 kWh,Front Wheel Drive,Peugeot,       45 kWh ,7,45.0,13.1,130,185,243,250,56690.0,49905.0
Peugeot e-Traveller Standard 75 kWh,Front Wheel Drive,Peugeot,       68 kWh ,7,68.0,13.3,130,270,252,290,57440.0,48824.0
Peugeot e-Traveller Long 75 kWh,Front Wheel Drive,Peugeot,       68 kWh ,7,68.0,13.3,130,270,252,290,58230.0,49495.5
Audi e-tron 55 quattro,All Wheel Drive,Audi,       86.5 kWh,5,86.5,5.7,200,365,237,590,81500.0,69275.0
Audi e-tron Sportback 55 quattro,All Wheel Drive,Audi,       86.5 kWh,5,86.5,5.7,200,375,231,600,83750.0,71187.5
Seres 3 ,Front Wheel Drive,Seres,       52 kWh ,5,52.0,8.9,155,270,193,390,0.0,0.0
Hyundai IONIQ 5 Project 45,All Wheel Drive,Hyundai,       72.6 kWh ,5,72.6,5.2,185,370,196,860,59550.0,48000.0
Porsche Taycan ,Rear Wheel Drive,Porsche,       71 kWh,4,71.0,5.4,230,395,180,790,83520.0,70690.0
Porsche Taycan Plus,Rear Wheel Drive,Porsche,       83.7 kWh,4,83.7,5.4,230,460,182,960,89244.0,74739.0
Tesla Model S Long Range,All Wheel Drive,Tesla,       90 kWh ,5,90.0,3.2,250,555,162,830,86990.0,83980.0
Tesla Model S Plaid,All Wheel Drive,Tesla,       90 kWh ,5,90.0,2.1,322,535,168,800,126990.0,118980.0
Tesla Model X Long Range,All Wheel Drive,Tesla,       90 kWh ,7,90.0,3.9,250,475,189,710,95990.0,90980.0
Tesla Model X Plaid,All Wheel Drive,Tesla,       90 kWh ,7,90.0,2.6,262,455,198,680,116990.0,110980.0
Mini Cooper SE ,Front Wheel Drive,Mini,       28.9 kWh,4,28.9,7.3,150,185,156,260,32500.0,26000.0
JAC iEV7s ,Front Wheel Drive,JAC,       39 kWh,5,39.0,12.0,132,225,173,160,0.0,0.0
